p,alga,lv,lv_s,lv_v,nonlv,mult,cits
Klientu apkalpošanas operators,870,,,x,,,
Klientu apkalpošanas speciālists,1150,,,x,,,
Klientu apkalpošanas speciālists,1190,,,x,,,
Klientu apkalpošanas speciālists,1190,,,x,,,
Klientu apkalpošanas speciālists ( ārstniecības nodaļā),827,,,x,,,
Klientu apkalpošanas speciālists Plānveida uzņemšanā,240,,,x,,,
Klientu apkalpošanas speciālists nodaļā,1002,,,x,,,
Klientu atbalsta operators (daļēja slodze),1350,,,x,,,
Klientu atbalsta operators (daļēja slodze),1350,,,x,,,
Klientu atbalsta speciālists,1450,,,x,,,
Klientu atbalsta speciālists,1450,,,x,,,
Klientu attiecību speciālists,2000,,,x,,,
Klientu iesniegumu izskatīšanas speciālists,1150,,,x,,,
Klientu noturēšanas speciālista asistents/ Customer Retention Specialist assistant,1635,,,x,,,
Klientu piesaistes vadītājs,2050,,,x,,,
Klientu piesaistes vadītājs,2050,,,x,,,
"Klientu servisa speciālists (uz noteiktu laiku, līdz 2 gadiem)",1675,,,x,,,
Klientu servisa vadītājs,1140,,,x,,,
Klientu servisa vadītājs,1140,,,x,,,
Klīniskais psihologs Paliatīvās aprūpes dienestā,1620,,,x,,,
Klīnisko pētījumu vecākais speciālists Zāļu pētījumu un intelektuālā īpašuma grupā,2150,,,x,,,
Klīnisko pētījumu vecākais speciālists Zāļu pētījumu un intelektuālā īpašuma grupā,2150,,,x,,,
Koka karkasu ēku konstrukciju projektēšanas galvenais inženieris,3000,,,x,,,
Komandas atbalsta vadītājs,1850,,,x,,,
Komplektētāju/Ražošanas koordinatoru,1450,x,,,,,
Komunikācijas projektu vadītājs,2000,,,x,,,
Komunikācijas projektu vadītājs,2000,,,x,,,
Komunālās tehnikas pārdošanas speciālists,2250,,,x,,,
Konditorejas tehnologs - meistars,1500,,,x,,,
Konditorejas un maizes produktu pārtikas tehnologs - konsultants,2200,,,x,,,
Korporatīvo klientu menedžeris/Менеджер по корпоративным клиентам,2150,,,x,,,
Korporatīvo klientu pārdošanas speciālists,1700,,,x,,,
Kāršu uzskaites operators (Шафлер),240,,,x,,,
LAWYER (F/M/D) | IGNITIS RENEWABLES,2495,,,,x,,
LAWYER / CONTRACTS MANAGER (F/M/D) | IGNITIS RENEWABLES,2495,,,,x,,
LEAN nepārtraukto uzlabojumu speciālists ražošanā,1750,,,x,,,
LSM.lv redakcijas sporta redaktors,1600,,,x,,,
Land Rights Acquisition Manager (F/M/D) | Ignitis Renewables,3169,,,,x,,
Large Language Modelling/Gen AI engineer,3125,,,,x,,
Latgales rajona tiesas (Daugavpilī) tulks (uz nenoteiktu laiku),1270,,,x,,,
Latgales rajona tiesas (Daugavpilī) tulks (uz nenoteiktu laiku),1270,,,x,,,
Latvian and Russian Speaking E-mail and Chat Customer Service Agent,1300,,,,x,,
Lauksaimniecības darbu vadītājs/ agronoms,2000,,,x,,,
Lauksaimniecības tehnikas mehāniķis Gulbenē,1850,,,x,,,
Lauksaimniecības tehnikas mehāniķis Rēzeknē,2100,,,x,,,
"Lauksaimniecības tehnikas mehāniķis Viduslatvijā (Madona, Aizkraukle, Ilūkste, Jaunjelgava)",2350,,,x,,,
"Lauksaimniecības tehnikas mehāniķis Viduslatvijā (Madona, Aizkraukle, Ilūkste, Jaunjelgava)",2350,,,x,,,
Lauksaimniecības tehnikas mehāniķis Ķekavā,2100,,,x,,,
Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100,,,x,,,
Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100,,,x,,,
Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100,,,x,,,
Lead Frontend Area QA Engineer,4955,,,,x,,
Lead Java Developer,5950,,,,x,,
Lead of Business Development (FinTech),4800,,,,x,,
Legal Advisor,2000,,,,x,,
Legal Assistant,1850,,,,x,,
Legal Assistant,1850,,,,x,,
Legal Counsel (Partnerships),2700,,,,x,,
Legal Manager,5000,,,,x,,
Legal and Compliance Lawyer,3200,,,,x,,
Legal and Compliance Lawyer,3200,,,,x,,
Legal project lead / Legal manager,3250,,,,x,,
Lidl Plus Coupon and Content Specialist,1550,,,,x,,
Lielo Klientu Apkalpošanas Speciālists,2000,,,x,,,
Lietvedis Reģistrācijas nodaļā (uz prombūtnes laiku),1500,,,x,,,
Linkbait Content Creator,2600,,,,x,,
Lithuanian speaking customer support specialist for NETS business clients,1635,,,,x,,
Live-in Carer (low living costs),2458,,,,x,,
Logistics Project Manager,2750,,,,x,,
Logistics Project Manager,2750,,,,x,,
Logistics Specialist,2125,,,,x,,
Logistics Specialist,2125,,,,x,,
Loģistikas - Noliktavas speciālists,1800,,,x,,,
Loģistikas - Noliktavas speciālists,1800,,,x,,,
Līgumu reģistra uzraudzības speciālists,1500,,,x,,,
Maitre D/Head waiter on river cruise ships,2682,,,,x,,
Maiņas meistars (Team Leader - virsmas apstrādes cehā),1500,,,x,,,
Maiņas vadītājs - KFC Origo,1230,,,x,,,
Maiņas vadītājs ražošanas uzņēmumam,1650,,,x,,,
"Maiņu vadītājs Rīgā, T/C Domina",1175,,,x,,,
"Maiņu vadītājs Rīgā, T/C Mols",1175,,,x,,,
"Maiņu vadītājs Rīgā, T/C Mols",1175,,,x,,,
Manual QA Engineer,3000,,,,x,,
Manufacturing Flow Controller,1775,,,,x,,
Market Development Specialist,2250,,,,x,,
Market Researcher,2150,,,,x,,
Market Researcher,2150,,,,x,,
Marketing Assistant,1700,,,,x,,
Marketing Automation Expert,2500,,,,x,,
Marketing Data Analyst/ Mārketinga datu analītiķis,1750,,,,x,,
Marketing Intern (paid),750,,,,x,,
Marketing Intern (paid),750,,,,x,,
Marketing Project Manager,2150,,,,x,,
Marketing Project Manager,2150,,,,x,,
Marketing Specialist,1850,,,,x,,
"Master Data Specialist, Tietoevry Latvia",1400,,,,x,,
"Master Data Specialist, Tietoevry Latvia",1400,,,,x,,
"Master Data Specialist, Tietoevry Latvia",1400,,,,x,,
Material Productivity Project assistant,1900,,,,x,,
Measurer - Installer for France,1900,,,,x,,
Measurer - Installer for France,1900,,,,x,,
Mechanical designer-drafter,1900,,,,x,,
Mehatronisko/elektrisko sistēmu tehniķis,1650,,,x,,,
Mehānisko sistēmu tehniķi,1475,x,,,,,
"Mehāniķis - mehatroniķis (hidraulika, elektrība)",2500,,,x,,,
Metālapstrādes darbgaldu operators,1100,,,x,,,
"Microsoft D365 CE/CRM Developer, Tietoevry Tech Services",3150,,,,x,,
Microsoft Dynamics AX (Axapta) Specialist,2500,,,,x,,
Microsoft Dynamics AX (Axapta) Specialist,2500,,,,x,,
"Mid to Lead Business Developer in Customer Data Team | SEB, Riga",3000,,,,x,,
Mid-Sen QA Automation Specialist,3650,,,,x,,
Mid-Senior Salesforce Developer,3700,,,,x,,
Mid/Senior Manual mobile QA,2400,,,,x,,
Mid/Senior Manual mobile QA,2400,,,,x,,
"Mid/Sr Full-Stack Software Developer (C#, .NET, Azure, React)",3900,,,,x,,
Middle AI Engineer (Deep Learning) (AI100),4750,,,,x,,
Middle PSP Project Manager,3000,,,,x,,
Middle PSP Project Manager,3000,,,,x,,
Middle Ruby / RoR developer,4250,,,,x,,
Middle SEO Specialist,4000,,,,x,,
Middle level Java Developer,2650,,,,x,,
Middle/ Senior Java Developer,5100,,,,x,,
Middle/Senior Graphic Designer (Trevolution),2300,,,,x,,
Middle/Senior IT Recruiter (R100),2250,,,,x,,
Mobile QA Automation Engineer,3250,,,,x,,
Montāžas speciālists ar vācu valodas zināšanām,840,,,x,,,
Muitas pārvaldes Riska vadības daļas Riska informācijas apstrādes nodaļas vecākais muitas eksperts,1409,,,x,,,
Muitas pārvaldes Rīgas muitas kontroles punktu daļas Muitas kontroles punktu muitas uzraugs,1226,,,x,,,
Muitas pārvaldes Rīgas muitas kontroles punktu daļas Muitas kontroles punktu muitas uzraugs,1226,,,x,,,
MuleSoft Developer (Associate & Senior),3250,,,,x,,
MĀSA 91. Sirds ķirurģijas nodaļā,1403,,x,,,,
MĀSA Endoskopijas nodaļā,1403,,x,,,,
MĀSA Endoskopijas nodaļā,1403,,x,,,,
Mārketinga projektu vadītājs,3250,,,x,,,
Mārketinga tehniskais asistents,1525,,,x,,,
"Māsa 31. Hemodialīzes nodaļā (0,3 slodze uz noteiktu laiku)",1403,,x,,,,
Mīksto mēbeļu ražošanas vadītājs,2200,,,x,,,
Mенеджер по работе с клиентами,2000,,,,x,,
Mенеджер по работе с клиентами,2000,,,,x,,
NEPCon SIA Forestry Specialist,2150,,,,x,,
NEPCon SIA Forestry Specialist,2150,,,,x,,
Namdaris/ apdares darbu meistars,1425,,,x,,,
Namu pārzinis Namu apsaimniekošanas daļā,1587,,,x,,,
Native English Speaker from United Kingdom,2925,,,,x,,
Nekustamo īpašumu aģents,2000,,,x,,,
Nekustamo īpašumu aģents,2000,,,x,,,
Nekustamo īpašumu pārvaldnieks,2200,,,x,,,
Nekustamā īpašuma eksperts,1800,,,x,,,
Nekustamā īpašuma eksperts,1800,,,x,,,
Nekustamā īpašuma pārvaldnieks,2000,,,x,,,
Network (Server) Administrator,3100,,,,x,,
Network (Server) Administrator,3100,,,,x,,
Network Operation Center Engineer (Technical Support),1600,,,,x,,
Network Planning Coordinator,2100,,,,x,,
Nodokļu nomaksas veicināšanas pārvaldes Algas nodokļu daļas galvenais nodokļu inspektors,1559,,,x,,,
Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485,,,x,,,
Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485,,,x,,,
Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485,,,x,,,
Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891,,,x,,,
Nodokļu un muitas policijas pārvaldes Administratīvās vadības daļas vecākais lietvedis,1023,,,x,,,
Nodokļu un muitas policijas pārvaldes Informācijas sistēmu administrators,2173,,,x,,,
Noliktavas darbinieks (nepilna slodze),280,,,x,,,
Noliktavas pārzinis Gatavās produkcijas noliktavā,2000,,,x,,,
Norwegian Speaking Customer Service Specialist,1575,,,,x,,
"Norwegian Speaking Customer Support Specialist,Tietoevry Banking",2725,,,,x,,
"Norwegian Speaking Customer Support Specialist,Tietoevry Banking",2725,,,,x,,
Norwegian Speaking E-mail and Chat Customer Service Advisor,1525,,,,x,,
"Norwegian Speaking IT Customer Support Specialist, Tietoevry Tech Services",1600,,,,x,,
"Norwegian Speaking Service Delivery Manager, Tietoevry Tech Services",2500,,,,x,,
Norwegian speaking Consultant,1700,,,,x,,
Norwegian speaking specialist in Account team,1650,,,,x,,
On-Site IT Support,2750,,,,x,,
Online Marketing Specialist,2000,,,,x,,
Online Marketing Specialist,2000,,,,x,,
"Open Position - Salesforce developer, Test Automation Specialist, DATA engineers",3850,,,,x,,
Operations Specialist/Manager,1100,,,,x,,
Operations Specialist/Manager,1100,,,,x,,
Operators Asfaltbetona ražošanas rūpnīcā,400,,,x,,,
Operators Asfaltbetona ražošanas rūpnīcā,400,,,x,,,
Oracle Database Administrator,3400,,,,x,,
Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226,,,x,,,
Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226,,,x,,,
Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226,,,x,,,
Outperformer Global Development Program for Graduates,2600,,,,x,,
Overheads and Finance Projects Business Partner,3500,,,,x,,
PCBA manufacturing ESD and IPC-610 Coordinator / Trainer,1590,,,,x,,
"PHP Developer (""Middle"")",2750,,,,x,,
"PHP Developer (""Middle"")",2750,,,,x,,
PHP Developer (TYPO3),3750,,,,x,,
PPC Specialist,2100,,,,x,,
PPC Specialist - Online Casino,2750,,,,x,,
Pakomātu attīstības projektu vadītājs,2000,,,x,,,
Pakomātu projektu vadītājs,1500,,,x,,,
Pakomātu projektu vadītājs,1500,,,x,,,
Pakomātu tehniskā atbalsta speciālists,1500,,,x,,,
Paliatīvās aprūpes dienesta vadītājs,2340,,,x,,,
Palīgstrādniece/-ks (Ražošanas departamentā),200,x,,,,,
Partnership Executive,3275,,,,x,,
Partnership Executive,3275,,,,x,,
Partnership Manager for China (Mandarin Chinese Speaker),2300,,,,x,,
Partnerships manager,3061,,,,x,,
Partneru attiecību vadītājs,2150,,,x,,,
Pasākumu projektu vadītājs,2050,,,x,,,
Pasākumu projektu vadītājs,2050,,,x,,,
"Payment Process Expert with automation experience| SEB, Riga",1900,,,,x,,
"Payment Services Specialist for a friendly and dynamic culture | SEB, Riga",1575,,,,x,,
Payroll Specialist,2650,,,,x,,
Performance Analyst,2150,,,,x,,
Performance and Quality Coordinator,280,,,,x,,
Personal Assistant to Management Team,1300,,,,x,,
Personāla atlases speciālists,1500,,,x,,,
Personāla atlases speciālists,1700,,,x,,,
Personāla attīstības speciālists,1700,,,x,,,
Personāla speciālists (uz noteiktu laiku),1700,,,x,,,
Personāla vadības speciālists (uz noteiktu laiku),1850,,,x,,,
Personāla vadības speciālists (uz noteiktu laiku),1850,,,x,,,
Personāla vadītāja Baltijā,2800,,x,,,,
Pharmacist,2100,,,,x,,
Pharmacist Assistant,1900,,,,x,,
Plant Manager,5000,,,,x,,
Plant Manager,5000,,,,x,,
Postgres/MariaDB Database Administrator,3400,,,,x,,
Prakse Mārketinga nodaļā,850,x,,,,,
Prakse Personāla nodaļā,700,x,,,,,
Prakse/darbs farmācijas studentiem,240,,,x,,,
Prakses vietas Tehnikas biznesā,0,x,,,,,
Prakses vietas Tehnikas biznesā,0,x,,,,,
Preču aprites uzraudzības strādnieks noliktavā,1082,,,x,,,
Pricing Actuary and Business Analyst,2300,,,,x,,
Principal Python Engineer,7430,,,,x,,
Principal Software Engineer,6250,,,,x,,
Principal Software Engineer,6250,,,,x,,
Principal Technical Lead - Facades Engineering,3800,,,,x,,
Procesu un risku vadības speciālists,1800,,,x,,,
Procurement Assistant,1300,,,,x,,
Procurment and Tendering Specialist (F/M/D) | Ignitis Renewables,3169,,,,x,,
Product Business Analyst (Game development),3400,,,,x,,
Product Business Analyst (Integration domain),3500,,,,x,,
Product Manager,2600,,,,x,,
Product Manager (Mobile App),3500,,,,x,,
Product Manager (Trevolution),4400,,,,x,,
Product Marketing Specialist,2500,,,,x,,
Product Owner,4600,,,,x,,
Product Owner E-Commerce,3541,,,,x,,
"Product Owner to Customer Data Team in Customer Overview and Digital Enablers Tribe | SEB, Riga",4200,,,,x,,
Production Data Analyst,2200,,,,x,,
Production Operations Analyst,2500,,,,x,,
Production Process Engineer,2250,,,,x,,
Produktu Vadītāja Assistents,1300,,,x,,,
Produktu grupas vadītāja asistents Mēbeļu kategorijā,1500,,,x,,,
Produktu grupas vadītāja asistents Mēbeļu kategorijā,1500,,,x,,,
"Program Manager, Cruise Company",4000,,,,x,,
Project Development Manager (F/M/D) I Ignitis Renewables,3169,,,,x,,
Project Engineer (Electromechanical projects),560,,,,x,,
Project Engineer SHIP ELECTRICAL PROJECTS,5400,,,,x,,
Project Manager,3300,,,,x,,
Project Manager,3500,,,,x,,
Project Risk Analyst (F/M/D) | Ignitis Renewables,2495,,,,x,,
Project Service Delivery Coordinator,2455,,,,x,,
Project manager,3600,,,,x,,
Projektu vadītāja asistents,975,,,x,,,
Projektu vadītāja asistents,975,,,x,,,
Projektu vadītājs (ELT/ EST/ KT),3000,,,x,,,
Projektu vadītājs (ELT/ EST/ KT),3000,,,x,,,
Projektu vadītājs (darbs Daugavpilī),1175,,,x,,,
Projektu vadītājs (darbs Daugavpilī),1175,,,x,,,
Projektu vadītājs - jurists (uz noteiktu laiku),1563,,,x,,,
Projektu vadītājs / tāmētājs,2750,,,x,,,
Projektu īstenošanas vadītājs,1800,,,x,,,
Promotions team assistant,1465,,,,x,,
Promotions team assistant,1465,,,,x,,
Psihologs Garīgās aprūpes un sociālā darba dienestā (pusslodzes darbs),850,,,x,,,
"Pulētājs, slīpētājs, sagatavotājs krāsošanai",2250,,,x,,,
Purchasing coordinator,1700,,,,x,,
Pārdevēja palīgs Rīgā,200,,,x,,,
Pārdevējs - konsultants Rīgā,1500,,,x,,,
Pārdevējs- konsultants CROPP T/C  ALFA,990,,,x,,,
Pārdevējs- konsultants T/C Akropole MOHITO,990,,,x,,,
Pārdevējs-konsultants RESERVED T/C ALFA,990,,,x,,,
Pārdošanas Pārstāvis Rīgā un Rīgas Reģionā,1350,,,x,,,
Pārdošanas atbalsta administrators uz noteiktu laiku(Baltijas operāciju centrā),1314,,,x,,,
Pārdošanas atbalsta administrators uz noteiktu laiku(Baltijas operāciju centrā),1314,,,x,,,
Pārdošanas inženieris/ produktu speciālists,2550,,,x,,,
Pārdošanas menedžeris / Tirdzniecības speciālists,1830,,,x,,,
Pārdošanas projektu vadītājs,1900,,,x,,,
Pārdošanas projektu vadītājs,2150,,,x,,,
Pārdošanas projektu vadītājs,1750,,,x,,,
Pārdošanas projektu vadītājs,1750,,,x,,,
Pārdošanas projektu vadītājs (biznesa un industriālo parku noma),3000,,,x,,,
Pārdošanas speciālista asistents,1200,,,x,,,
Pārdošanas speciālists (auto nozare),2200,,,x,,,
Pārdošanas speciālists (auto nozare),2200,,,x,,,
Pārdošanas speciālists - komandas līderis,2800,,,x,,,
Pārdošanas speciālists - komandas līderis,2800,,,x,,,
Pārdošanas speciālists Zvanu centrā,1680,,,x,,,
Pārdošanas un Klientu apkalpošanas speciālists,1500,,,x,,,
Pārdošanas un nomas projektu speciālists,2150,,,x,,,
Pārdošanas un nomas projektu speciālists,2150,,,x,,,
Pārdošanas un Īres speciālists,2250,,,x,,,
Pārskatu departamenta vecākais eksperts,1600,,,x,,,
Pārskatu departamenta vecākais eksperts,1600,,,x,,,
QA Automation Engineer,4385,,,,x,,
QA Automation Engineer,3250,,,,x,,
QA Automation Engineer,3750,,,,x,,
QA Automation Engineer (Java),2800,,,,x,,
QA Engineer,3290,,,,x,,
QA Engineer,2350,,,,x,,
QA Engineer,2750,,,,x,,
QA Engineer (Senior / Lead),3600,,,,x,,
QA Team Lead,4750,,,,x,,
Quality Assistant (temporary position),1350,,,,x,,
Quality Assurance SoQM Compliance,2500,,,,x,,
Quality Assurance Specialist in Mobile Team,2800,,,,x,,
Quality Control Inspector,1400,,,,x,,
Quality Responsible JDE RSO,2200,,,,x,,
"R developer/data engineer (Pricing Actuary, Analyst Baltics)",3592,,,,x,,
"R developer/data engineer (Pricing Actuary, Analyst Baltics)",3592,,,,x,,
RADIOLOGA ASISTENTS Onkoloģijas klīnikas Staru terapijas kabinetā,320,,,x,,,
RADIOLOGA ASISTENTS Onkoloģijas klīnikas Staru terapijas kabinetā,320,,,x,,,
Radiologa asistents / Radiogrāfers Invazīvās kardioloģijas laboratorijā,280,,,x,,,
Radiologa asistents / Radiogrāfers Invazīvās kardioloģijas laboratorijā,280,,,x,,,
Radiologa asistents/radiogrāfers Diagnostiskās radioloģijas dienestā,1620,,,x,,,
"Rakstnieks, satura veidotājs (attālināti)",950,,,x,,,
"Rakstnieks, satura veidotājs (attālināti)",950,,,x,,,
Ražošanas darbinieks - slīpēšana.,1350,,,x,,,
Ražošanas darbinieks/ maiņas vecākais,1572,,,x,,,
Ražošanas iekārtu inženieris,1850,,,x,,,
Ražošanas iekārtu mehāniķis,1900,,,x,,,
Ražošanas maiņas vadītājs Ādažos,1600,,,x,,,
Ražošanas meistara palīgs (teamleader),1850,,,x,,,
Ražošanas nodaļas vadītājs/plānotājs,1950,,,x,,,
Ražošanas procesu efektivitātes un kontroles speciālists Gatavo zāļu formu ražošanas nodaļā,1650,,,x,,,
Recruiter,1600,,,,x,,
Recruiter,1969,,,,x,,
Recruiter,2500,,,,x,,
Recruiter (temporary agreement),1583,,,,x,,
Recruiter - internship (part time),425,,,,x,,
Reiseleiterin,600,,,,x,,
Reklāmas datu analītiķis Amazon,1300,,,x,,,
Reservation specialist,1350,,,,x,,
Reģionālais tirdzniecības pārstāvis,2100,,,x,,,
Risk Analyst,2325,,,,x,,
Risk Analyst,2400,,,,x,,
Risk Analyst,2550,,,,x,,
Risk Analyst,2550,,,,x,,
Risk Analyst (Online Gaming- Sportsbook & Casino),2250,,,,x,,
Risk Analyst (Online Gaming- Sportsbook & Casino),2250,,,,x,,
Risk Automation Manager,3250,,,,x,,
Road Transport Project Manager,3500,,,,x,,
Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesas sēžu sekretārs (uz noteiktu laiku),1118,,,x,,,
Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesas sēžu sekretārs (uz noteiktu laiku),1118,,,x,,,
Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesneša palīgs (uz noteiktu laiku),1446,,,x,,,
Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesneša palīgs (uz noteiktu laiku),1446,,,x,,,
Rīgas apgabaltiesas Krimināllietu tiesas kolēģijas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118,,,x,,,
Rīgas apgabaltiesas Krimināllietu tiesas kolēģijas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118,,,x,,,
Rīgas apgabaltiesas priekšsēdētāja palīgs pētnieciski analītiskajos jautājumos (uz nenoteiktu laiku),1591,,,x,,,
Rīgas apgabaltiesas priekšsēdētāja palīgs pētnieciski analītiskajos jautājumos (uz nenoteiktu laiku),1591,,,x,,,
"Rīgas pilsētas tiesas  (Daugavgrīvas iela 58, Rīga)  tiesas sēžu sekretārs  (uz noteiktu laiku)",1118,,,x,,,
"Rīgas pilsētas tiesas  (Mazā Nometņu iela 39, Rīga)  tiesas sēžu sekretārs  (uz noteiktu laiku)",1118,,,x,,,
"Rīgas rajona tiesas (Aiviekstes ielā 6, Rīgā) tiesas sekretārs (uz nenoteiktu laiku)",1062,,,x,,,
Rīgas rajona tiesas (Jūrmalā) tiesas sēžu sekretārs (uz nenoteiktu laiku),1118,,,x,,,
Rūpniecisko iekārtu montieris,1500,,,x,,,
Rūpnieciskā piesārņojuma un gaisa kvalitātes pārvaldības vides eksperts,2600,,,x,,,
Rūpniecības elektriķis (sākuma līmenis),2800,,,x,,,
SAP ABAP Developer,2750,,,,x,,
SAP ABAP developer,3562,,,,x,,
SAP Analytics Consultant,3562,,,,x,,
SAP Business Warehouse Consultant,3000,,,,x,,
SAP Commerce Back-end Developer,3562,,,,x,,
SAP Data Services Developer,3562,,,,x,,
SAP Financial Accounting / Controlling Analyst,3500,,,,x,,
SAP Financial Accounting / Controlling Analyst,3500,,,,x,,
SAP Integration Architect,3900,,,,x,,
SAP Logistics Functional Analyst,3300,,,,x,,
SAP Logistics Functional Analyst,3300,,,,x,,
SAP Sales and Distribution Functional Analyst,3300,,,,x,,
SAP Sales and Distribution Functional Analyst,3300,,,,x,,
SENIOR DOCUMENTATION SPECIALIST (F/M/D) | IGNITIS RENEWABLES,2258,,,,x,,
SEO Copywriter (attālinātais darbs),1250,,,,x,,
SEO Project manager,6500,,,,x,,
SEO Specialist,1950,,,,x,,
SEO Specialist,1950,,,,x,,
SEO Specialist B2C,2100,,,,x,,
SEO Team Lead,4250,,,,x,,
SEO Web Developer,2400,,,,x,,
SEO Web Developer,2400,,,,x,,
SEO specialist,2400,,,,x,,
SEO specialist,2400,,,,x,,
SMM Project Manager (Social Media Marketing) / Social Media Marketing Manager,2000,,,,x,,
SMM manager,2000,,,,x,,
STENDERS pārdevējs - konsultants Riga Plaza un Akropole Rīga,1200,,,x,,,
Sailpoint Infrastructure Engineer for Identity & Access Management,4550,,,,x,,
Saldēšanas un dzesēšanas  sistēmu tehniķis,1795,,,x,,,
Saldēšanas un dzesēšanas  sistēmu tehniķis,1795,,,x,,,
Sales Assistant,1275,,,,x,,
Sales Development Representative,3150,,,,x,,
Sales Development Representative,3150,,,,x,,
Sales Development Specialist,1250,,,,x,,
Sales Engineer,2250,,,,x,,
Sales Executive,2250,,,,x,,
Sales Manager,2750,,,,x,,
Sales Manager (B2B),2700,,,,x,,
Sales Manager (German speaking),1850,,,,x,,
Sales Manager/Affiliate Manager - iGaming Industry,2900,,,,x,,
Sales Representative,2100,,,,x,,
Sales Representative for cold calls,400,,,,x,,
Sales Specialist,2750,,,,x,,
Sales Specialist,1970,,,,x,,
Sales Specialist,1970,,,,x,,
Sales Specialist in Travel Company,1500,,,,x,,
Sales and Business Development Manager,4100,,,,x,,
Sales and Business Development Manager,4100,,,,x,,
Sales manager,1700,,,,x,,
"Sales specialist, Sales manager",2250,,,,x,,
"Sales specialist, Sales manager",2250,,,,x,,
Salesforce Administrator,1850,,,,x,,
"Salesforce Administrator, Travel Tech Company",4585,,,,x,,
"Salesforce Associate, Poland Latvia Bulgaria",2000,,,,x,,
"Salesforce Associate, Poland Latvia Bulgaria",2000,,,,x,,
Salesforce Marketing Cloud Consultant,3550,,,,x,,
Salesforce Technical Architect,4350,,,,x,,
"Saziņas menedžeris (pilna vai nepilna slodze,attālināti)",750,,,x,,,
"Saziņas menedžeris (pilna vai nepilna slodze,attālināti)",750,,,x,,,
Scala Engineer,5105,,,,x,,
Scala Team Lead,5500,,,,x,,
"Scandinavian Speaking Delivery Lead (temporary), Tietoevry Tech Services",2350,,,,x,,
Scrum Master,3550,,,,x,,
Scrum Master in Regulatory Reporting Area,4800,,,,x,,
Scrum Master within Data and Analytics,4800,,,,x,,
Scrum Master within Data and Analytics,4800,,,,x,,
"Scrum Master/Delivery Team Lead for Customer Data Team in CODE Tribe | SEB, Riga",4800,,,,x,,
Security Shift Leader,2100,,,,x,,
Senior .NET Developer,3850,,,,x,,
Senior Accountant,2300,,,,x,,
Senior Accountant,2350,,,,x,,
Senior Accountant for Intercompany Team,2100,,,,x,,
Senior Accountant for R2R Norway,2100,,,,x,,
Senior Accountant in Report-to-Record Team (1 year contract),1800,,,,x,,
"Senior Angular Developer, Investment Management Solution",3800,,,,x,,
Senior Artificial Intelligence Developer,4500,,,,x,,
Senior Building Envelope Structural Engineer,3800,,,,x,,
Senior Business Analyst,3500,,,,x,,
"Senior Business Analyst, Cruise Company",3450,,,,x,,
Senior Consultant Audit & Assurance,2450,,,,x,,
Senior Consultant Audit & Assurance,2450,,,,x,,
Senior Consultant in Strategy & Transaction,2400,,,,x,,
Senior Customer Consultant,1600,,,,x,,
"Senior Data & AI Engineer (Python, PowerBI)",4300,,,,x,,
Senior Data Engineer,4750,,,,x,,
